conv_layers,conv_layer_size,dense_layers,dense_layer_size,batch_size,epochs,optimizer,loss_function,accuracy,loss
1,5,1,50,64,4,adam,binary_crossentropy,0.7684,0.47872905120849607
1,5,1,50,64,5,adam,binary_crossentropy,0.7772,0.4754516077041626
1,5,1,5,128,1,adam,binary_crossentropy,0.7026,0.6180460872650146
1,5,1,5,128,2,adam,binary_crossentropy,0.7352,0.5388253030776977
1,5,1,5,128,3,adam,binary_crossentropy,0.7416,0.5188074110031128
1,5,1,5,128,4,adam,binary_crossentropy,0.7412,0.5305058773040772
1,5,1,5,128,5,adam,binary_crossentropy,0.7488,0.5068728942871094
1,5,1,5,32,1,adam,binary_crossentropy,0.734,0.5282590674400329
1,5,1,5,32,2,adam,binary_crossentropy,0.7518,0.5046172574043274
1,5,1,5,32,3,adam,binary_crossentropy,0.7324,0.5257839610099793
1,5,1,5,32,4,adam,binary_crossentropy,0.7582,0.4988892950057983
1,5,1,5,32,5,adam,binary_crossentropy,0.7532,0.5103654091835022
1,5,1,5,64,1,adam,binary_crossentropy,0.722,0.5489476058006286
1,5,1,5,64,2,adam,binary_crossentropy,0.7492,0.5472641738891602
1,5,1,5,64,3,adam,binary_crossentropy,0.7444,0.5110267612457275
1,5,1,5,64,4,adam,binary_crossentropy,0.7612,0.5223476444244385
1,5,1,5,64,5,adam,binary_crossentropy,0.7512,0.51341695394516
1,5,2,10,128,1,adam,binary_crossentropy,0.7274,0.5407523544311523
1,5,2,10,128,2,adam,binary_crossentropy,0.75,0.5187102317810058
1,5,2,10,128,3,adam,binary_crossentropy,0.7358,0.526358161354065
1,5,2,10,128,4,adam,binary_crossentropy,0.7338,0.529467121219635
1,5,2,10,128,5,adam,binary_crossentropy,0.7486,0.49665941123962404
1,5,2,10,32,1,adam,binary_crossentropy,0.7592,0.5054293558120727
1,5,2,10,32,2,adam,binary_crossentropy,0.7536,0.505093792438507
1,5,2,10,32,3,adam,binary_crossentropy,0.7658,0.4884474274635315
1,5,2,10,32,4,adam,binary_crossentropy,0.7674,0.4820418475151062
1,5,2,10,32,5,adam,binary_crossentropy,0.7476,0.5020205634117126
1,5,2,10,64,1,adam,binary_crossentropy,0.7456,0.5243514693260193
1,5,2,10,64,2,adam,binary_crossentropy,0.7492,0.5184396955490113
1,5,2,10,64,3,adam,binary_crossentropy,0.7548,0.5032645895004273
1,5,2,10,64,4,adam,binary_crossentropy,0.7534,0.5120290311813355
1,5,2,10,64,5,adam,binary_crossentropy,0.757,0.5014619505882263
1,5,2,50,128,1,adam,binary_crossentropy,0.7384,0.5251909301757812
1,5,2,50,128,2,adam,binary_crossentropy,0.7606,0.50874387550354
1,5,2,50,128,3,adam,binary_crossentropy,0.7642,0.4926808536529541
1,5,2,50,128,4,adam,binary_crossentropy,0.7754,0.4695262609481812
1,5,2,50,128,5,adam,binary_crossentropy,0.7608,0.4822322309494019
1,5,2,50,32,1,adam,binary_crossentropy,0.7464,0.5044958069801331
1,5,2,50,32,2,adam,binary_crossentropy,0.7492,0.5037662607192993
1,5,2,50,32,3,adam,binary_crossentropy,0.7706,0.4713455468177795
1,5,2,50,32,4,adam,binary_crossentropy,0.7858,0.4498303988456726
1,5,2,50,32,5,adam,binary_crossentropy,0.7768,0.46357779302597046
1,5,2,50,64,1,adam,binary_crossentropy,0.7558,0.4993577655792236
1,5,2,50,64,2,adam,binary_crossentropy,0.7602,0.49744633979797365
1,5,2,50,64,3,adam,binary_crossentropy,0.764,0.4858021308898926
1,5,2,50,64,4,adam,binary_crossentropy,0.758,0.4938612701416016
1,5,2,50,64,5,adam,binary_crossentropy,0.7766,0.4730494626045227
1,5,2,5,128,1,adam,binary_crossentropy,0.7474,0.5726248668670655
1,5,2,5,128,2,adam,binary_crossentropy,0.745,0.5318692739486695
1,5,2,5,128,3,adam,binary_crossentropy,0.745,0.5311243724822998
1,5,2,5,128,4,adam,binary_crossentropy,0.7124,0.5589931699752808
1,5,2,5,128,5,adam,binary_crossentropy,0.758,0.4975357423782349
1,5,2,5,32,1,adam,binary_crossentropy,0.7376,0.5265808052062988
1,5,2,5,32,2,adam,binary_crossentropy,0.7406,0.5353548620223999
1,5,2,5,32,3,adam,binary_crossentropy,0.745,0.5353673492431641
1,5,2,5,32,4,adam,binary_crossentropy,0.747,0.5067899181365967
1,5,2,5,32,5,adam,binary_crossentropy,0.7282,0.5409788721084595
1,5,2,5,64,1,adam,binary_crossentropy,0.7316,0.5428871022224426
1,5,2,5,64,2,adam,binary_crossentropy,0.6642,0.5970164340019226
1,5,2,5,64,3,adam,binary_crossentropy,0.733,0.5344113466262818
1,5,2,5,64,4,adam,binary_crossentropy,0.7454,0.509467359161377
1,5,2,5,64,5,adam,binary_crossentropy,0.7422,0.5225488670349121
1,5,3,10,128,1,adam,binary_crossentropy,0.7216,0.5513782415390015
1,5,3,10,128,2,adam,binary_crossentropy,0.7412,0.5290910562515259
1,5,3,10,128,3,adam,binary_crossentropy,0.7366,0.5181406022071838
1,5,3,10,128,4,adam,binary_crossentropy,0.7694,0.47795984296798705
1,5,3,10,128,5,adam,binary_crossentropy,0.763,0.4905635530471802
1,5,3,10,32,1,adam,binary_crossentropy,0.7508,0.5082693155288697
1,5,3,10,32,2,adam,binary_crossentropy,0.7514,0.4997589528083801
1,5,3,10,32,3,adam,binary_crossentropy,0.7608,0.49530369720458983
1,5,3,10,32,4,adam,binary_crossentropy,0.749,0.4997096962928772
1,5,3,10,32,5,adam,binary_crossentropy,0.7456,0.5067539759635925
1,5,3,10,64,1,adam,binary_crossentropy,0.7458,0.5110044006347656
1,5,3,10,64,2,adam,binary_crossentropy,0.7426,0.5091925832748413
1,5,3,10,64,3,adam,binary_crossentropy,0.7408,0.5261674837112427
1,5,3,10,64,4,adam,binary_crossentropy,0.7286,0.5285854398727416
1,5,3,10,64,5,adam,binary_crossentropy,0.745,0.5013411111831665
1,5,3,50,128,1,adam,binary_crossentropy,0.7558,0.5056084132194519
1,5,3,50,128,2,adam,binary_crossentropy,0.7476,0.49862614488601686
1,5,3,50,128,3,adam,binary_crossentropy,0.7666,0.4842985361099243
1,5,3,50,128,4,adam,binary_crossentropy,0.7782,0.47116489009857176
1,5,3,50,128,5,adam,binary_crossentropy,0.77,0.47717772922515866
1,5,3,50,32,1,adam,binary_crossentropy,0.756,0.4909077989578247
1,5,3,50,32,2,adam,binary_crossentropy,0.7764,0.4774163765907288
1,5,3,50,32,3,adam,binary_crossentropy,0.7772,0.4626742423057556
1,5,3,50,32,4,adam,binary_crossentropy,0.7754,0.46310141448974607
1,5,3,50,32,5,adam,binary_crossentropy,0.7782,0.46490600566864015
1,5,3,50,64,1,adam,binary_crossentropy,0.7444,0.5176585542678833
1,5,3,50,64,2,adam,binary_crossentropy,0.7484,0.4983970122337341
1,5,3,50,64,3,adam,binary_crossentropy,0.7684,0.4830711399078369
1,5,3,50,64,4,adam,binary_crossentropy,0.7612,0.4778880917549133
1,5,3,50,64,5,adam,binary_crossentropy,0.7828,0.45348851346969604
1,5,3,5,128,1,adam,binary_crossentropy,0.721,0.5555078972816467
1,5,3,5,128,2,adam,binary_crossentropy,0.757,0.512675023651123
1,5,3,5,128,3,adam,binary_crossentropy,0.7446,0.5192600231170654
1,5,3,5,128,4,adam,binary_crossentropy,0.7264,0.5322714842796326
1,5,3,5,128,5,adam,binary_crossentropy,0.7278,0.539839760875702
1,5,3,5,32,1,adam,binary_crossentropy,0.7428,0.5220424638748169
1,5,3,5,32,2,adam,binary_crossentropy,0.749,0.518006737613678
1,5,3,5,32,3,adam,binary_crossentropy,0.7394,0.5187594073295593
1,5,3,5,32,4,adam,binary_crossentropy,0.7666,0.4827810145378113
1,5,3,5,32,5,adam,binary_crossentropy,0.7612,0.5103148144721985
1,5,3,5,64,1,adam,binary_crossentropy,0.736,0.5353038249969483
1,5,3,5,64,2,adam,binary_crossentropy,0.727,0.5327481555938721
1,5,3,5,64,3,adam,binary_crossentropy,0.737,0.5254020092010498
1,5,3,5,64,4,adam,binary_crossentropy,0.7496,0.5054707294464111
1,5,3,5,64,5,adam,binary_crossentropy,0.7308,0.5306923885345459
