loss,accuracy,0 true,1 true,conv_layers,conv_nodes,dense_layers,dense_nodes,optimizer,loss_function,epoch,batch_size
0.476051,0.7753999829292297,1919,1958,2,10,3,32,Nadam,binary_crossentropy,10,128
0.07829,0.7702000141143799,1824,2027,2,10,3,32,Nadam,huber_loss,10,128
0.479426,0.7684000134468079,1812,2030,2,10,3,32,adam,binary_crossentropy,10,64
0.077158,0.7748000025749207,1926,1948,2,10,3,32,adam,huber_loss,10,64
0.474879,0.7710000276565552,1931,1924,2,10,3,32,Nadam,binary_crossentropy,10,64
0.076564,0.777400016784668,1838,2049,2,10,3,32,Nadam,huber_loss,10,64
0.465635,0.7716000080108643,2017,1841,2,10,3,64,adam,binary_crossentropy,10,128
0.077075,0.777999997138977,1954,1936,2,10,3,64,adam,huber_loss,10,128
0.458304,0.7738000154495239,1984,1885,2,10,3,64,Nadam,binary_crossentropy,10,128
0.076799,0.7767999768257141,1891,1993,2,10,3,64,Nadam,huber_loss,10,128
0.472391,0.7799999713897705,1911,1989,2,10,3,64,adam,binary_crossentropy,10,64
0.076896,0.7797999978065491,1926,1973,2,10,3,64,adam,huber_loss,10,64
0.4591,0.7889999747276306,2018,1927,2,10,3,64,Nadam,binary_crossentropy,10,64
0.075352,0.7802000045776367,2056,1845,2,10,3,64,Nadam,huber_loss,10,64
0.443773,0.7965999841690063,1998,1985,2,20,1,128,adam,binary_crossentropy,10,128
0.071219,0.8023999929428101,1981,2031,2,20,1,128,adam,huber_loss,10,128
0.438786,0.800599992275238,1916,2087,2,20,1,128,Nadam,binary_crossentropy,10,128
0.068836,0.8105999827384949,2014,2039,2,20,1,128,Nadam,huber_loss,10,128
0.47171,0.8055999875068665,1898,2130,2,20,1,128,adam,binary_crossentropy,10,64
0.071848,0.8001999855041504,1903,2098,2,20,1,128,adam,huber_loss,10,64
0.459958,0.7996000051498413,1922,2076,2,20,1,128,Nadam,binary_crossentropy,10,64
0.069759,0.8090000152587891,1973,2072,2,20,1,128,Nadam,huber_loss,10,64
0.45608,0.7746000289916992,1792,2081,2,20,1,32,adam,binary_crossentropy,10,128
0.07516,0.781000018119812,1994,1911,2,20,1,32,adam,huber_loss,10,128
0.454142,0.7807999849319458,1825,2079,2,20,1,32,Nadam,binary_crossentropy,10,128
0.07464,0.7814000248908997,1753,2154,2,20,1,32,Nadam,huber_loss,10,128
0.455695,0.774399995803833,1941,1931,2,20,1,32,adam,binary_crossentropy,10,64
0.072363,0.7924000024795532,1944,2018,2,20,1,32,adam,huber_loss,10,64
0.457619,0.7839999794960022,1826,2094,2,20,1,32,Nadam,binary_crossentropy,10,64
0.074582,0.7833999991416931,1825,2092,2,20,1,32,Nadam,huber_loss,10,64
0.450378,0.7907999753952026,1909,2045,2,20,1,64,adam,binary_crossentropy,10,128
0.073164,0.7864000201225281,1888,2044,2,20,1,64,adam,huber_loss,10,128
0.451674,0.7857999801635742,1969,1960,2,20,1,64,Nadam,binary_crossentropy,10,128
0.072719,0.784600019454956,1979,1944,2,20,1,64,Nadam,huber_loss,10,128
0.46996,0.7907999753952026,1955,1999,2,20,1,64,adam,binary_crossentropy,10,64
0.071685,0.796999990940094,1980,2005,2,20,1,64,adam,huber_loss,10,64
0.444242,0.800599992275238,2016,1987,2,20,1,64,Nadam,binary_crossentropy,10,64
0.071514,0.7950000166893005,1929,2046,2,20,1,64,Nadam,huber_loss,10,64
0.438211,0.7928000092506409,2013,1951,2,20,2,128,adam,binary_crossentropy,10,128
0.071368,0.8033999800682068,1985,2032,2,20,2,128,adam,huber_loss,10,128
0.441823,0.8083999752998352,1975,2067,2,20,2,128,Nadam,binary_crossentropy,10,128
0.071419,0.7983999848365784,1883,2109,2,20,2,128,Nadam,huber_loss,10,128
0.068482,0.8109999895095825,1965,2090,2,20,2,128,Nadam,huber_loss,15,128
0.081769,0.7576000094413757,2008,1780,2,20,2,128,Nadam,huber_loss,1,128
0.081118,0.7573999762535095,1866,1921,2,20,2,128,Nadam,huber_loss,1,128
0.455121,0.7929999828338623,1894,2071,2,20,2,128,adam,binary_crossentropy,10,64
0.0729,0.7906000018119812,1977,1976,2,20,2,128,adam,huber_loss,10,64
0.461739,0.7907999753952026,1873,2081,2,20,2,128,Nadam,binary_crossentropy,10,64
0.072056,0.7993999719619751,1838,2159,2,20,2,128,Nadam,huber_loss,10,64
0.463179,0.7789999842643738,1830,2065,2,20,2,32,adam,binary_crossentropy,10,128
0.075959,0.7752000093460083,1845,2031,2,20,2,32,adam,huber_loss,10,128
0.454636,0.7797999978065491,1992,1907,2,20,2,32,Nadam,binary_crossentropy,10,128
0.075709,0.7728000283241272,1785,2079,2,20,2,32,Nadam,huber_loss,10,128
0.453935,0.7861999869346619,1909,2022,2,20,2,32,adam,binary_crossentropy,10,64
0.074896,0.7850000262260437,1993,1932,2,20,2,32,adam,huber_loss,10,64
0.465353,0.776199996471405,1932,1949,2,20,2,32,Nadam,binary_crossentropy,10,64
0.074684,0.7888000011444092,1980,1964,2,20,2,32,Nadam,huber_loss,10,64
0.451343,0.7847999930381775,1953,1971,2,20,2,64,adam,binary_crossentropy,10,128
0.073249,0.7874000072479248,1908,2029,2,20,2,64,adam,huber_loss,10,128
0.451282,0.7865999937057495,1936,1997,2,20,2,64,Nadam,binary_crossentropy,10,128
0.073384,0.7857999801635742,1869,2060,2,20,2,64,Nadam,huber_loss,10,128
0.455914,0.7856000065803528,1867,2061,2,20,2,64,adam,binary_crossentropy,10,64
0.073117,0.7925999760627747,1965,1998,2,20,2,64,adam,huber_loss,10,64
0.456486,0.7857999801635742,1961,1968,2,20,2,64,Nadam,binary_crossentropy,10,64
0.07306,0.7911999821662903,1905,2051,2,20,2,64,Nadam,huber_loss,10,64
0.446703,0.7856000065803528,1881,2047,2,20,3,128,adam,binary_crossentropy,10,128
0.073908,0.7904000282287598,1973,1979,2,20,3,128,adam,huber_loss,10,128
0.453449,0.8023999929428101,2008,2004,2,20,3,128,Nadam,binary_crossentropy,10,128
0.071735,0.7964000105857849,1997,1985,2,20,3,128,Nadam,huber_loss,10,128
0.467404,0.7832000255584717,1920,1996,2,20,3,128,adam,binary_crossentropy,10,64
0.072133,0.7950000166893005,1975,2000,2,20,3,128,adam,huber_loss,10,64
0.452996,0.7911999821662903,1886,2070,2,20,3,128,Nadam,binary_crossentropy,10,64
0.073366,0.7915999889373779,1961,1997,2,20,3,128,Nadam,huber_loss,10,64
0.470861,0.7699999809265137,1808,2042,2,20,3,32,adam,binary_crossentropy,10,128
0.078899,0.7685999870300293,1936,1907,2,20,3,32,adam,huber_loss,10,128
0.459874,0.7821999788284302,1869,2042,2,20,3,32,Nadam,binary_crossentropy,10,128
0.077659,0.772599995136261,1842,2021,2,20,3,32,Nadam,huber_loss,10,128
0.470646,0.771399974822998,2030,1827,2,20,3,32,adam,binary_crossentropy,10,64
0.078568,0.7775999903678894,1811,2077,2,20,3,32,adam,huber_loss,10,64
0.480314,0.7817999720573425,1904,2005,2,20,3,32,Nadam,binary_crossentropy,10,64
0.084635,0.7605999708175659,1875,1928,2,20,3,32,Nadam,huber_loss,10,64
0.463716,0.7821999788284302,1891,2020,2,20,3,64,adam,binary_crossentropy,10,128
